GeneSymbol	Diseases
HTR7	Adenocarcinoma:Hypertension:Schizophrenia
HTR6	Hypertension:Psychotic disorder
ADD1	Cardiovascular disease:Diabetes mellitus:Hypertension:Kidney failure:Polycystic kidney
HOXA13	Leukemia
GSDMB	Liver cancer
MRE11A	Adenoma:Adenovirus infection:Alzheimer's disease:Ataxia telangiectasia:Breast cancer:Colon cancer:Hodgkin's disease:Leukoencephalopathy:Lung cancer:Stomach cancer
HOXA11	Abortion:Leukemia
DAG1	Cancer
PXN	Cancer
PIN1	Adenoid cystic cancer:Alzheimer's disease:Brain disease:Breast cancer:Dental plaque:Embryoma:Liver cancer:Neuroblastoma:Neurodegenerative disorder:Prostate cancer:Squamous cell cancer:Stomach cancer
MIR184	Larynx cancer:Primary tumor
HOXA10	Embryoma:Endometrial cancer:Endometriosis:Leukemia:Polycystic ovary syndrome
IL1RAPL2	Polymyositis
IL1RAPL1	Mental retardation
FCER1A	Asthma:Dermatitis
BMP4	Cancer:Cleft palate:Diabetes mellitus:Hypertension:Polyarthritis:Rheumatoid arthritis:Spinal dysraphism
BMP3	Peripheral nerve sheath cancer
BMP2	"Hypertension, Pulmonary":Amnionitis:Ankylosis:Cancer:Gouts:Osteoporosis
BMP1	Myelofibrosis
SMAD7	Cancer:Chronic fatigue syndrome:Diabetes mellitus:Helicobacter infection:Scleroderma:Systemic scleroderma
SMAD5	Helicobacter infection:Liver cancer:Lung cancer:Schizophrenia
SMAD4	Cancer:Capillaries disease:Vascular disease
SMAD3	Adenoma:Amyotrophic lateral sclerosis:Dermatitis:Eating disorder:Embryoma:Herpes:Polyarthritis:Prostate cancer:Rabies:Scleroderma:Stomach cancer:Systemic scleroderma
C14ORF68	Liver cancer
SMAD2	Amyotrophic lateral sclerosis:Asthma:Cancer:Dermatitis:Skin cancer
SMAD1	Lung cancer:Pancreas cancer
ECM1	Carcinoma:Embryoma:Lipoidosis:Neoplasm metastasis:Ulcerative colitis
HYOU1	Kidney failure
CHRNB2	Autistic disorder:Behavior disease:Down syndrome:Epilepsy:Psychotic disorder
CHRNB1	Lung cancer
IL5RA	Asthma:IGA glomerulonephritis:Multiple sclerosis
BMP7	"Hypertension, Pulmonary":Ankylosis:Arthritis:Cancer:Chronic rejection of renal transplant:Cirrhosis:Diabetes mellitus:Osteoporosis
BMP5	Breast cancer:Neoplasm metastasis:Peripheral nerve sheath cancer:Polyarthritis:Prostate cancer:Rheumatoid arthritis
ADAR	Brain tumor:Keratoconjunctivitis Sicca:Lupus erythematosus:Virus disease
BMP6	Aseptic necrosis of bone:Bone disease:Breast cancer:Diabetes mellitus:Gouts:Liver cancer:Liver tumor:Myelofibrosis:Neoplasm metastasis:Prostate cancer
COPS2	Cancer
CCKAR	Drug abuse:Obesity:Pancreas cancer:Panic disorder:Parkinson disease:Schizophrenia
COPS5	Cancer
SLC15A2	Cystic fibrosis
BCAR1	Cancer:Wiskott-Aldrich syndrome
CAMKK2	Phobic anxiety disorder
MIR126	Lung cancer
ASH2L	Cancer
MIR122	Liver cancer:Vitamin B deficiency
CYR61	Cancer:Endometriosis:Polycystic ovary syndrome:Pre-Eclampsia:Rheumatoid arthritis:Virus disease
TOMM34	Colon cancer
MIR10B	Breast cancer
CCKBR	Cancer:Panic disorder:Parkinson disease
INPPL1	Carcinoma:Diabetes mellitus:Embryoma:Glucose intolerance:Hypertension:Neoplasm metastasis
TRAP1	Ischemia
GADD45G	Liver cancer:Pituitary tumor
AVEN	Embryoma:Mesothelioma
GADD45B	Liver cancer:Polyarthritis
GADD45A	Cancer:Yersinia infection
TBX19	Hypopituitarism
SLC27A4	Obesity
BCAT1	Advanced cancer:Colon cancer:Nasopharyngeal cancer
BCAT2	Rabies
CA13	Cancer
KIAA0196	Prostate cancer
HPRT1	Arthritis:Ataxia telangiectasia:Colon cancer:Embryoma:Encephalopathies:Gouts:Kidney failure:Leukemia:Malaria
SUMO4	Autoimmune disease:Diabetes mellitus:Metabolism disease:Pancreas disease:Rheumatism
SUMO3	Bone disease:Skin disease
SUMO1	Malignant glioma:Neurodegenerative disorder:Osteosarcoma:Prostate cancer:Renal tubular acidosis:Rheumatoid arthritis:Squamous cell cancer:Testicular dysfunction
MEFV	Amyloidosis:Behcet syndrome:Brucellosis:Enteritis:Familial Mediterranean fever:IGA glomerulonephritis:Rheumatism:Systemic infection:Ulcerative colitis:Vasculitis
PREPL	Bladder cancer:Kidney disease
AP3D1	HIV infection
HBP1	Cancer
ELMOD2	Hamman-Rich syndrome
BCAS2	Breast cancer:Embryoma
IL18R1	Asthma:Cervical cancer:HIV infection:Sarcoidosis
PTPRZ1	Brain tumor:Breast cancer:Demyelinating disease:Stomach cancer
SETBP1	Granulomatous disease
ITPR3	Diabetes mellitus:Lupus erythematosus:Stomach cancer
RAPH1	Osteosarcoma
ITPR1	Prostate cancer:Sicca syndrome:Spinocerebellar ataxias
ITPR2	Amyotrophic lateral sclerosis:Rheumatoid arthritis
BRMS1	Cancer
PYGM	Metabolism disease:Pre-Eclampsia:Systemic infection
ADCY9	Bipolar disorder
PYGL	Diabetes mellitus
MAPK14	Amyotrophic lateral sclerosis:Cancer:Chronic obstructive airway disease:Dermatitis:Diabetes mellitus:Endometriosis:Enteritis:HIV infection:Heart failure:Ischemia:Pre-Eclampsia:Rheumatic fever:Rheumatoid arthritis:Schistosoma mansonii infection:Severe acute respiratory syndrome:Skin cancer:Systemic scleroderma:Tuberculosis:Vascular disease
NEUROD1	Breast cancer:Diabetes mellitus:Embryoma:Glucose intolerance:Pituitary tumor
TOB1	Lung cancer
PYGB	Adenocarcinoma:Lung cancer
TUSC2	Congenital abnormality:Lung cancer
APOBEC1	Cancer:Cholelithiasis:Neurofibromatosis
MAEA	Emphysema
TUSC5	Obesity
WFS1	Autoimmune disease:Behavior disease:Breast cancer:Depression:Diabetes mellitus:Eye disease:Kidney disease:Neuroblastoma
ARNT2	Breast cancer:Cleft palate
ITPKC	Mucocutaneous lymph node syndrome
DYT3	Parkinson disease
H19	Beckwith-Wiedemann syndrome:Bladder cancer:Congenital abnormality:Embryoma:Fibroma:Leukemia:Nasopharyngeal cancer:Oligospermia:Ovarian failure:Rheumatoid arthritis
GSTM1	"Infertility, Male":Actinic keratosis:Aplastic anemia:Asthma:Atherosclerosis:Autistic disorder:Barrett's esophagus:Behcet syndrome:Cancer:Cerebrovascular disorder:Chronic obstructive airway disease:Chronic simple glaucoma:Deafness:Dermatitis:Diabetes mellitus:Drug abuse:Drug-Induced dyskinesia:Endometriosis:Hepatitis:Infertility:Intractable epilepsy:Kidney failure:Kuhnt-Junius degeneration:Multiple sclerosis:Oral cancer:Pancreatitis:Parkinson disease:Peptic esophagitis:Periodontitis:Polycystic ovary syndrome:Pre-Eclampsia:Premature birth:Rheumatoid arthritis:Schizophrenia:Stroke:Testicular dysfunction:Tuberculosis:Varicosity:Vascular disease:Vitiligo
KLHL7	Cancer
GSTM2	Cardiovascular disease
GSTM3	Embryoma:Gallbaldder cancer:Liver cancer:Oral cancer
CISD2	Eye disease:Kidney disease
GSTM4	Lung cancer
SEP15	Cancer:Lung cancer
SLC4A2	Cervical cancer:Stomach cancer
SLC4A1	Colon cancer:Gram-Negative bacterial infection:Hemoglobinopathies:Hemolytic anemia:Kidney failure:Leukemia:Malaria:Renal tubular acidosis
SATB1	Leukoencephalopathy:Neoplasm metastasis
SOCS2	Breast cancer:Diabetes mellitus:Leukemia
SOCS3	Adenovirus infection:Breast cancer:Cervical cancer:Cholangiocarcinoma:Leukemia:Liver tumor:Lung cancer:Melanoma:Metastasis to lymph nodes:Obesity:Polyarthritis:Polycystic ovary syndrome:Prostate cancer:Tuberculosis:Ulcerative colitis:Uveitis
CA12	Cervical cancer:Glaucoma:Stomach cancer
UBIAD1	Prostate cancer
BCL2A1	Advanced cancer:Breast cancer:Dermatitis:Leukemia:Prostate cancer:Tuberculosis
SOCS5	Uveitis
PTHLH	Cancer:Heart failure
LYNX1	Breast cancer:Squamous cell cancer
CARTPT	Drug abuse:Obesity
KIR2DL1	Abortion:Influenza:Mycosis fungoides:Rheumatoid arthritis
PAEP	Female reproductive system disorder:Herpes:Infertility
KIR2DL3	Endometriosis:Infection:Mycosis fungoides
KIR2DL2	Diabetes mellitus:Scleroderma:Systemic scleroderma
KIR2DL4	Leukemia
SLC38A3	Brain tumor:Neoplasm metastasis:Renal Cell cancer
GNE	Alzheimer's disease:Muscular dystrophies:Osteitis deformans
STRAP	Cancer:Colon cancer
ENSA	Diabetes mellitus:Down syndrome
WT1	"Pleural effusion, Malignant":Alzheimer's disease:Aplastic anemia:Cancer:Cirrhosis:Endometriosis:Hyperparathyroidism:Nephritis:Proteinuria:Urogenital abnormalities:Yersinia infection
DAOA	Behavior disease:Bipolar disorder:Neurotic disorder:Panic disorder:Pervasive development disorder:Psychotic disorder
XAGE1B	Cancer
RAD51L1	Lung disease
XAGE1D	Cancer
SLC30A5	Dental plaque
EWSR1	Cancer
MEST	Autistic disorder:Breast cancer:Infiltrating cancer
HIST2H3A	Breast cancer:Liver cancer
PTPN6	Anemia:Cancer:Leukemia:Multiple sclerosis
CSTF2	Peptic ulcer
ACY1	Heart failure
PTPN2	Ulcerative colitis
TOMM40	Cancer
REEP1	Neurodegenerative disorder
WRN	Atherosclerosis:Diabetes mellitus:Sarcoma:Systemic scleroderma:Werner syndrome
REEP3	Autistic disorder
GAEC1	Cancer:Esophagus cancer
GLS	Encephalopathies:Melanoma
PTPN1	Breast cancer:Colon cancer:Hypertension:Metabolism disease:Prostate cancer
HSP90AB1	Leukemia
BMI1	Cancer:Oral cancer:Primary biliary cirrhosis
PRX	Charcot-Marie-Tooth disease:Neuropathy
FASLG	Abortion:Alzheimer's disease:Anemia:Aplastic anemia:Atherosclerosis:Autoimmune disease:Bladder cancer:Breast cancer:Celiac disease:Cervical cancer:Cholangiocarcinoma:Cholestasis:Chronic simple glaucoma:Colon cancer:Dental plaque:Embryoma:Endometriosis:Gallbaldder cancer:Gastritis:HELLP syndrome:HIV infection:Hepatitis B:Hepatitis C:Hydrocephalus:Hypercholesterolemia:Ischemia:Keratoconjunctivitis Sicca:Leukemia:Liver cancer:Lung cancer:Lupus erythematosus:Lupus vulgaris:Malignant glioma:Melanoma:Multiple myeloma:Neoplasm metastasis:Nervous system disease:Neuritis:Ovarian cancer:Pancreas cancer:Pulmonary fibrosis:Respiratory distress syndrome:Seminoma:Sicca syndrome:Silicosis:Stomach cancer
AKT1	Adenovirus infection:Atherosclerosis:Cancer:Diabetes mellitus:Huntington disease:Hyperglycemia:Hypertension:Obesity:Polycystic ovary syndrome:Psychotic disorder:Schizophrenia:Systemic infection:Systemic scleroderma:Tropical spastic paraparesis:Vitiligo
MEN1	Cancer:Endocrine system disease:Hyperaldosteronism:Hyperparathyroidism:Multiple endocrine neoplasia
PAK6	Disseminated cancer:Prostate cancer
PAK2	Breast cancer:Liver disease:Prostate cancer:Systemic scleroderma
PAK3	Mental retardation
MAPKAP1	Bone metastases:Renal Cell cancer
CNTNAP2	Autistic disorder:Behavior disease:Epilepsy:Gilles de la Tourette syndrome:Obsessive-compulsive disorder
PAK1	Alzheimer's disease:Breast cancer:Dental plaque:Down syndrome:Embryoma:Intraocular melanoma:Ovarian cancer:Renal Cell cancer:Virus disease
KPNB1	Virus disease
IFNGR2	Celiac disease:Lupus erythematosus:Pre-Eclampsia:Stomach cancer
AKT3	Cancer
IFNGR1	Communicable disease:Helicobacter infection:Infection:Leukemia:Lupus erythematosus:Osteomyelitis:Parasitic disease:Rheumatoid arthritis
AKT2	Cancer:Congenital abnormality:Diabetes mellitus:Hyperglycemia:Metabolism disease:Obesity
KHDRBS1	Cancer:HIV infection
NOL3	AIDS:Breast cancer:Colon cancer:Heart failure:Ischemia:Renal Cell cancer
HSP90AA1	Alzheimer's disease:Cancer:Eating disorder:Fanconi's anemia:Herpes
ECT2	Cancer
KIAA0100	Breast cancer
EIF4G1	Adenovirus infection:Breast cancer:Cytomegalovirus infection:Infection:Rheumatoid arthritis:Squamous cell cancer
EIF4G2	Cancer
C3ORF35	Cancer
HIPK3	Prostate cancer
HIPK2	Brain tumor:Leukemia:Leukoencephalopathy:Yersinia infection
BUB1B	Cancer
KPNA3	Schizophrenia
KPNA2	Breast cancer:Embryoma:Infiltrating cancer:Virus disease
GSTP1	Amyotrophic lateral sclerosis:Aplastic anemia:Asthma:Barrett's esophagus:Behcet syndrome:Cancer:Chronic obstructive airway disease:Cystic fibrosis:Deafness:Dermatitis:Diabetes mellitus:Drug abuse:Drug-Induced dyskinesia:Eating disorder:Emphysema:Endometriosis:Herpes:Kidney failure:Kuhnt-Junius degeneration:Liver disease:Oral cancer:Pancreatitis:Peptic esophagitis:Pre-Eclampsia:Primary biliary cirrhosis:Prostate cancer:Psychotic disorder:Schizophrenia:Silicosis:Testicular dysfunction
MELK	Cancer
TSPY1	Germ cell tumor:Hypogonadism:Primary tumor:Prostate cancer:Testicular dysfunction:Yersinia infection
CTNND2	Prostate cancer
KIAA0101	Liver cancer:Thyroid cancer
CTNND1	Cancer
KRT9	Palmoplantar keratosis
MOAP1	Cancer
KRT5	"Skin disease, Genetic":Breast cancer:Mesothelioma:Squamous cell cancer
CENPA	Colon cancer
KRT7	Cancer:Ovarian disease:Ulcerative colitis
KRT8	Breast cancer:Cirrhosis:Down syndrome:Embryoma:Enteritis:Hepatitis C:Liver disease:Lung cancer:Pancreas cancer:Pancreatitis:Primary tumor:Retinoblastoma:Ulcerative colitis
KRT1	"Skin disease, Genetic":Congenital abnormality
ENO2	Encephalitis:Inflammation of the central nervous system:Leukemia:Lung cancer:Lyme disease:Lymphoma:Neuroblastoma:Neurofibromatosis
KRT2	Ichthyoses
PTN	Brain tumor:Breast cancer:HIV infection:Nervous system tumor:Pancreas cancer:Prostate cancer
SUCNR1	Hypertension
GSTO1	Atherosclerosis:Breast cancer:Chronic obstructive airway disease:Stroke:Vascular dementia
FGFBP1	Cancer:Hemolytic-Uremic syndrome:Kidney disease
ENO1	Alzheimer's disease:Behcet syndrome:Encephalopathies:Prostate cancer:Rheumatoid arthritis
PTPRB	Breast cancer
ACTB	Cancer:Congenital abnormality:Myotonic disorder
PTPRC	Autoimmune disease:Colon cancer:Congenital abnormality:Fetal disease:HIV infection:Multiple myeloma:Systemic infection:Systemic scleroderma
PTPRD	Neoplasm metastasis:Squamous cell cancer
PTPRA	Cancer
CENPF	Breast cancer
CENPJ	Rheumatoid arthritis
AMPD3	Muscular dystrophies
AMPD1	Cardiovascular disease:Heart disease:Heart failure:Ischemia:Rheumatoid arthritis
CENPH	Colon cancer:Nasopharyngeal cancer
ANXA11	Rabies
C6ORF173	Cancer
NFIA	Congenital abnormality:Hydrocephalus
SPTAN1	Fanconi's anemia:Myopathy:Sicca syndrome
LDHC	"Thrombocythemia, Hemorrhagic"
LDHB	Brain tumor
KLRC2	Rheumatism
HRAS	Actinic keratosis:Cancer:Drug abuse:Eating disorder:Herpes:Pancreas disease:Penile disease:Systemic scleroderma
LDHA	"Thrombocythemia, Hemorrhagic":Panic disorder:Peptic ulcer
SGMS1	Adenovirus infection:Cervical cancer
AGTR1	Abortion:Adenocarcinoma:Adenoma:Adrenal gland tumor:Atherosclerosis:Brain ischemia:Breast cancer:Cardiovascular disease:Depression:Diabetes mellitus:Embryoma:Esotropia:Hamman-Rich syndrome:Heart disease:Hyperaldosteronism:Hypercholesterolemia:Hypertension:IGA glomerulonephritis:Ischemia:Kidney disease:Lupus erythematosus:Lupus vulgaris:Mucocutaneous lymph node syndrome:Obesity:Ovarian cancer:Premature birth:Rheumatoid arthritis:Stomach cancer:Systemic scleroderma
AGTR2	Adrenal gland tumor:Breast cancer:Cardiovascular disease:Diabetes mellitus:Embryoma:IGA glomerulonephritis:Ischemia:Mental retardation:Tuberculosis
MC1R	Sarcoma:Skin cancer:Skin disease:Skin tumor
OTSC5	Nervous system disease
SERPINE1	Abortion:Aseptic necrosis of bone:Asthma:Breast cancer:Cardiovascular disease:Chronic simple glaucoma:Colon cancer:Dental plaque:Diabetes mellitus:Embryoma:Esophagus cancer:Glomerulonephritis:Hyperglycemia:Hyperinsulinism:Hyperthyroidism:Infectious lung disease:Infiltrating cancer:Influenza:Leukemia:Liver cancer:Liver disease:Lung cancer:Malignant glioma:Melanoma:Metabolism disease:Multiple sclerosis:Neoplasm metastasis:Obesity:Ovarian cancer:Pancreas cancer:Periodontal disease:Polyarthritis:Polycystic ovary syndrome:Prostate cancer:Respiratory distress syndrome:Rheumatoid arthritis:Stomach cancer:Systemic infection:Thrombophilia
ILK	Cancer
PQBP1	Mental retardation:Neurodegenerative disorder
KLRD1	Behcet syndrome:Endometriosis:Hepatitis C
KLRB1	Lung cancer:Squamous cell cancer
INA	Cytomegalovirus infection:Neuroblastoma
CRTAM	Cancer
KIF5B	Neurofibromatosis
KIF5A	"Spastic paraplegia, Hereditary"
CRTAP	Connective tissue disease
F8	Atherosclerosis:Breast cancer:Capillaries disease:Cirrhosis:Hemophilia:Hemorrhagic disorder:Leukemia:Malignant childhood tumor:Rabies:Sarcoma:Stroke:Thrombophilia:Vascular disease
F9	Hemorrhagic disorder:Rabies:Thrombophilia
SERPING1	Neuropathy:Pertussis:Vasculitis
ESPL1	Lung cancer
OTSC4	Nervous system disease
F7	Breast cancer:Cardiovascular disease:Hemorrhagic disorder:Hyperlipidemia:Neoplasm metastasis:Rabies:Systemic infection
HLA-DQA1	Alopecia:Aortic aneurysm:Aplastic anemia:Asthma:Autoimmune disease:Breast cancer:Celiac disease:Common wart:Diabetes mellitus:Liver cancer:Ovarian cancer:Primary biliary cirrhosis:Retinal disease:Rheumatic fever:Stomach cancer:Tuberculosis:Yersinia infection
NPC2	Encephalopathies:Histiocytosis
F5	Abortion:Abruption placentae:Aseptic necrosis of bone:Behcet syndrome:Cardiovascular disease:Cerebral palsy:Cerebrovascular disorder:Deafness:Diabetes mellitus:Embryoma:Enteritis:Hemorrhagic disorder:Hyperhomocysteinemia:Infertility:Liver disease:Nephrosis:Polycystic ovary syndrome:Pulmonary embolism:Retinal disease:Sickle cell disease:Systemic infection:Systemic scleroderma:Thrombophilia
SERPINF2	Hemorrhagic disorder:Pulmonary embolism:Squamous cell cancer
F3	"Hypertension, Pulmonary":Abruption placentae:Atherosclerosis:Bacterial infection:Breast cancer:Cirrhosis:Dental plaque:Diabetes mellitus:Drug abuse:Embryoma:Heart failure:Hemolytic-Uremic syndrome:Hyperlipidemia:Kidney failure:Leukemia:Leukoencephalopathy:Liver metastases:Lymphatic metastasis:Melanoma:Meningioma:Nephrosis:Pancreas cancer:Primary tumor:Prostate cancer:Proteinuria:Rectum cancer:Respiratory distress syndrome:Rheumatism:Stomach cancer:Systemic infection:Thrombophilia
MC2R	Adenoma:Adrenal gland hyperfunction:Drug abuse:Neurotic disorder:Sella turcica tumor:Testicular dysfunction
F2	Abortion:Aseptic necrosis of bone:Behcet syndrome:Cardiovascular disease:Dental plaque:Diabetes mellitus:Embryoma:Endometriosis:Enteritis:Hemorrhagic disorder:Hyperhomocysteinemia:Liver cancer:Liver disease:Lupus erythematosus:Malignant glioma:Neoplasm metastasis:Nevus:Pulmonary fibrosis:Systemic infection:Systemic scleroderma:Thrombophilia
PMP22	Charcot-Marie-Tooth disease:Colon cancer:Deafness
KLRC1	Behcet syndrome:Endometriosis:Hepatitis C:Leukemia:Oral cancer:Vaccinia:Virus disease
CRTC3	Adenocarcinoma
GC	Chronic obstructive airway disease:Cystic fibrosis:Diabetes mellitus:Endometriosis:Graves' disease:Liver failure:Obesity:Osteoporosis:Prostate cancer:Tuberculosis
HSPBAP1	Intractable epilepsy
CRTC2	Diabetes mellitus
MTX1	Encephalopathies
RIC3	Hypertension
SERPINH1	"Skin disease, Genetic":Autoimmune disease:Cervical cancer:Cutaneous fibrous histiocytoma:Rheumatism:Rheumatoid arthritis
IL17C	Multiple sclerosis
ALCAM	Cancer
IL17A	Arthritis:Asthma:Atopic rhinitis:Behcet syndrome:Bone disease:Bronchiolitis obliterans:Cystic fibrosis:Endometriosis:Histiocytosis:Immunologic deficiency syndrome:Lupus erythematosus:Multiple sclerosis:Periodontal disease:Periodontitis:Polyarthritis:Polymyositis:Rheumatoid arthritis:Sicca syndrome:Systemic scleroderma:Ulcerative colitis:Uveitis
LOC647859	Spinal cord disease
RAC2	Brain tumor
INS	Acromegaly:Adenoma:Alzheimer's disease:Arteriopathy:Atherosclerosis:Autoimmune thyroiditis:Brain tumor:Breast cancer:Cervical cancer:Cirrhosis:Dental plaque:Diabetes mellitus:Eating disorder:Glucose intolerance:Hyperglycemia:Hyperinsulinism:Hypertension:Hypothyroidism:Late pregnancy:Lung disease:Metabolism disease:Metaplastic polyp:Nervous system tumor:Pancreas disease:Parkinson disease:Polycystic ovary syndrome:Prostate cancer:Spinal cord disease:Thalassemia
RAC3	Cancer
RAC1	Adenovirus infection:Cancer:Mental retardation:Rheumatoid arthritis:Salmonella infection
MTCP1	Leukemia
FGL2	Hepatitis
PABPC1	Esophageal tumor:Esophagus cancer
FH	Cancer:Ovarian disease:Testicular tumor
RECQL4	Congenital abnormality:Neutropenia:Osteosarcoma
KIF3A	Amyotrophic lateral sclerosis
ZNF521	Leukemia
FGF6	Brain tumor
BACH1	Alzheimer's disease:Congenital abnormality:Down syndrome:Kaposi sarcoma
FGF5	Brain tumor:Cancer
ELF1	Liver cancer:Lupus erythematosus:Lupus vulgaris:Primary biliary cirrhosis
FGF8	Bone metastases:Ovarian cancer:Prostate cancer:Rheumatoid arthritis
SPIN1	Cancer:Embryoma
LZTS1	Intraocular melanoma:Neoplasm metastasis:Prostate cancer:Squamous cell cancer
FGF7	"Prostatic hypertrophy, Benign":Bronchopulmonary dysplasia:Colon cancer:Emphysema:Esophageal tumor:Gastritis:Gingival overgrowth:Infectious lung disease:Ovary cancer:Pancreas cancer:Periodontal disease:Stomach cancer
BACH2	HIV infection:Leukemia:Ovarian cancer:Viremia
LDLR	Abortion:Alzheimer's disease:Atherosclerosis:Biliary cancer:Esotropia:Infection:Migraine:Overnutrition:Stroke
ELF3	Arthritis:Severe acute respiratory syndrome:Squamous cell cancer
ELF4	Leukoencephalopathy
FGF9	Endometriosis:Gonadal dysgenesis:Prostate cancer
DPP10	Asthma
DAXX	Virus disease
ASAH1	Adenocarcinoma:Leukemia:Prostate cancer
INSRR	Neuroblastoma
SPAG16	"Infertility, Male"
SERPINA9	Lymphoma
SERPINA6	Chronic fatigue syndrome:Obesity
SERPINA5	Aortic aneurysm:Breast cancer:Neoplasm metastasis:Prostate cancer:Renal Cell cancer:Systemic scleroderma
EEF2K	Alzheimer's disease
SERPINA3	Dental plaque:Metastasis to lymph nodes:Prostate cancer:Psychotic disorder:Stroke
MC5R	Bipolar disorder
QKI	Congenital abnormality:Schizophrenia
FGF1	Adenocarcinoma:Advanced cancer:Alzheimer's disease:Cleft palate:Endometriosis:Intracranial aneurysm:Ovarian cancer:Prostate cancer
FGF2	Anemia:Arthritis:Asthma:Cancer:Cirrhosis:Diabetes mellitus:Eating disorder:Endometriosis:Gestational diabetes:Heart failure:Hepatitis C:Herpes:Pre-Eclampsia:Stroke:Systemic scleroderma
IHH	Pancreas cancer:Sarcoma
FGF4	Breast cancer:Leukemia:Testicular dysfunction
RAP2A	Prostate cancer
LOC344967	Nasopharyngeal cancer
HYAL1	Brain tumor:Breast cancer:Diabetes mellitus:Infiltrating cancer:Lung cancer:Neck cancer:Prostate cancer:Squamous cell cancer
AR	"Infertility, Male":Amyotrophic lateral sclerosis:Atherosclerosis:Azoospermia:Cancer:Cholelithiasis:Depression:Diabetes mellitus:Endometriosis:Hypogonadism:Infertility:Migraine:Muscular atrophy:Oligospermia:Osteoporosis:Phobic anxiety disorder:Prostate cancer:Rabies:Rheumatoid arthritis:Schizophrenia:Urogenital abnormalities:Yersinia infection
TTF1	Cancer
OSTM1	Albers-Schonberg disease:Cancer
DECR1	Granulomatous disease
MTRR	"Infertility, Male":Abruption placentae:Alzheimer's disease:Bipolar disorder:Breast cancer:Down syndrome:Encephalopathies:Enteritis:Hyperhomocysteinemia:Leukemia:Malignant glioma:Meningioma:Multiple myeloma:Obesity:Pancreas cancer:Prostate cancer:Rheumatoid arthritis:Schizophrenia:Spinal dysraphism
LRPAP1	Cholelithiasis:Hemorrhagic disorder:Hypothyroidism
C19ORF33	Carcinoma:Ovary cancer
KLRG1	Infection:Virus disease
CLIC4	Cancer
IL12A	Asthma:Familial Mediterranean fever:Lymphoma:Melanoma:Neoplasm metastasis:Sinusitis:Stomach cancer
SERPINB2	Antiphospholipid syndrome:Congenital abnormality:Diabetes mellitus:Endometrial cancer:Lupus erythematosus:Scleroderma:Systemic scleroderma
SPRR3	Esophagus cancer
SERPINB4	Asthma:Cancer:Parasitic disease:Skin cancer
VCAN	"Prostatic hypertrophy, Benign":Brain tumor:Breast cancer:Eating disorder:Endometrium cancer:Herpes:Intracranial aneurysm:Melanoma:Metastasis to lymph nodes:Pre-Eclampsia:Prostate cancer:Protein-energy malnutrition:Spondylarthropathies
SERPINB3	Asthma:Cancer:Pulmonary fibrosis:Scleroderma:Systemic scleroderma
IL12B	Adenoma:Advanced cancer:Anemia:Behcet syndrome:Celiac disease:Communicable disease:Dermatitis:Diabetes mellitus:Gastritis:Hypertension:Leprosy:Lung disease:Multiple sclerosis:Myasthenia Gravis:Peptic ulcer:Rheumatoid arthritis:Salmonella infection:Schizophrenia:Silicosis:Sinusitis:Stomach cancer:Thymoma:Ulcerative colitis
WNT9A	Breast cancer
ARL4D	Brain tumor:Cancer
EEF1D	Brain tumor:Breast cancer:Esophagus cancer:Metastasis to lymph nodes
LOH3CR2A	Colon cancer
ARL4A	Brain tumor:Malignant glioma
HLA-DQB1	Aplastic anemia:Asthma:Autoimmune disease:Azoospermia:Celiac disease:Common wart:Dermatitis:Diabetes mellitus:Enteritis:Hodgkin's disease:Liver cancer:Lupus erythematosus:Narcolepsy:Rheumatic fever:Schizophrenia:Silicosis:Stomach cancer:Thalassemia
C9	Endometriosis:Infertility
C3	Alzheimer's disease:Amyotrophic lateral sclerosis:Aortic valve disease:Dental plaque:Depression:Drug abuse:Endometriosis:Hyperlipidemia:Infertility:Kidney disease:Lupus erythematosus:Macular degeneration:Stroke:Tuberculosis
C6	Gram-Negative bacterial infection
C5	Aortic valve disease:Depression:Endometriosis:Infertility:Rheumatoid arthritis:Stroke
NHLRC1	"Myoclonic epilepsies, Progressive":Epilepsy
NUFIP2	Coronavirus infection
CYP2A13	Embryoma:Lung cancer
LRRTM3	Alzheimer's disease
LRRTM1	Schizophrenia
SERPINC1	CNS lymphoma:Kidney disease:Prostate cancer:Rabies:Thrombophilia
EXOC4	Diabetes mellitus
PRSS16	Autoimmune disease
DAZL	"Infertility, Male":Azoospermia:Infertility:Oligospermia:Prostate cancer
C2	Infectious lung disease:Macular degeneration
MC3R	Anorexia nervosa:Diabetes mellitus:Obesity:Tuberculosis
ACSL4	Colon cancer:Embryoma:Liver cancer:Mental retardation:Myopathy
ACSL3	Hyperlipidemia:Liver cancer:Liver tumor
NBEAL1	Brain tumor:Malignant glioma
ETFA	Vitamin B deficiency
WNT8B	Adenocarcinoma:Stomach cancer
